Stock_A,Stock_B,Correlation,Industry_A,Industry_B,Same_Industry
MU,SNPS,0.4751983362477032,Semiconductors,Software - Infrastructure,False
ADSK,DASH,0.47500891832314684,Software - Application,Internet Retail,False
CTSH,MAR,0.4747557444934738,Information Technology Services,Lodging,False
AMZN,CPRT,0.47458084511168647,Internet Retail,Specialty Business Services,False
LIN,MAR,0.47442953680423594,Specialty Chemicals,Lodging,False
ADBE,KLAC,0.474376313601607,Software - Application,Semiconductor Equipment & Materials,False
MELI,MSFT,0.4742405106416443,Internet Retail,Software - Infrastructure,False
PYPL,TTD,0.4741182052045527,Credit Services,Advertising Agencies,False
ADBE,LRCX,0.47396969178025067,Software - Application,Semiconductor Equipment & Materials,False
AAPL,COST,0.4739348721481733,Consumer Electronics,Discount Stores,False
FAST,PCAR,0.4738053762325496,Industrial Distribution,Farm & Heavy Construction Machinery,False
ADI,PYPL,0.4736896636298137,Semiconductors,Credit Services,False
AAPL,MRVL,0.47309806868496224,Consumer Electronics,Semiconductors,False
AMAT,ISRG,0.4729734112229555,Semiconductor Equipment & Materials,Medical Instruments & Supplies,False
ABNB,ADI,0.4729629363693216,Travel Services,Semiconductors,False
SNPS,WDAY,0.4726781536148997,Software - Infrastructure,Software - Application,False
ADBE,NXPI,0.4725774540199411,Software - Application,Semiconductors,False
COST,MSFT,0.47257567440039167,Discount Stores,Software - Infrastructure,False
NXPI,PYPL,0.47236181358382817,Semiconductors,Credit Services,False
DASH,INTU,0.4723408519297205,Internet Retail,Software - Application,False
CDW,PCAR,0.4722057454182237,Information Technology Services,Farm & Heavy Construction Machinery,False
ABNB,AMZN,0.47215125330895,Travel Services,Internet Retail,False
MCHP,PYPL,0.47210515997249547,Semiconductors,Credit Services,False
CDNS,MELI,0.4720620956288153,Software - Application,Internet Retail,False
AMD,CDW,0.47176428407663057,Semiconductors,Information Technology Services,False
DDOG,PANW,0.47153235761420015,Software - Application,Software - Infrastructure,False
AMZN,AVGO,0.47133298614682134,Internet Retail,Semiconductors,False
INTU,ON,0.47116811033515077,Software - Application,Semiconductors,False
AMZN,NXPI,0.4709358175392677,Internet Retail,Semiconductors,False
MDB,TTD,0.4708326436919176,Software - Infrastructure,Advertising Agencies,False
NVDA,PLTR,0.47082148796108086,Semiconductors,Software - Infrastructure,False
ADBE,META,0.470808948646699,Software - Application,Internet Content & Information,False
ABNB,ADSK,0.4707430997012811,Travel Services,Software - Application,False
DDOG,SNPS,0.4706581765448344,Software - Application,Software - Infrastructure,False
AMD,META,0.4706194370567651,Semiconductors,Internet Content & Information,False
CPRT,LRCX,0.470396077138995,Specialty Business Services,Semiconductor Equipment & Materials,False
BKNG,NXPI,0.47032605304333075,Travel Services,Semiconductors,False
ADI,BKNG,0.47027879816072204,Semiconductors,Travel Services,False
CPRT,QCOM,0.4701427525382648,Specialty Business Services,Semiconductors,False
AMAT,CPRT,0.46990724438551984,Semiconductor Equipment & Materials,Specialty Business Services,False
ADSK,AVGO,0.4696005742989079,Software - Application,Semiconductors,False
MAR,ON,0.46955037016293527,Lodging,Semiconductors,False
CSX,CTAS,0.46941958929136623,Railroads,Specialty Business Services,False
CRWD,MELI,0.4692532060898251,Software - Infrastructure,Internet Retail,False
CPRT,MCHP,0.46918251875270645,Specialty Business Services,Semiconductors,False
MCHP,TSLA,0.469182059316515,Semiconductors,Auto Manufacturers,False
DASH,NVDA,0.46913102477336394,Internet Retail,Semiconductors,False
ADBE,PYPL,0.46908223484598155,Software - Application,Credit Services,False
ADBE,AMD,0.46905752711619514,Software - Application,Semiconductors,False
ABNB,NXPI,0.46897282653392025,Travel Services,Semiconductors,False
ADSK,BKNG,0.46895238981968534,Software - Application,Travel Services,False
ADBE,FTNT,0.4689042490216861,Software - Application,Software - Infrastructure,False
ARM,CDNS,0.4688080854108296,Semiconductors,Software - Application,False
PLTR,TSLA,0.4685386383735867,Software - Infrastructure,Auto Manufacturers,False
ADSK,MAR,0.4682844398881842,Software - Application,Lodging,False
PEP,XEL,0.4682235050669274,Beverages - Non-Alcoholic,Utilities - Regulated Electric,False
ADSK,ODFL,0.4680922655136039,Software - Application,Trucking,False
ADBE,MDB,0.4680827963179902,Software - Application,Software - Infrastructure,False
ADI,HON,0.46792496489626384,Semiconductors,Conglomerates,False
KLAC,META,0.4679138183959544,Semiconductor Equipment & Materials,Internet Content & Information,False
COST,ROP,0.4678171391287687,Discount Stores,Software - Application,False
NVDA,TSLA,0.4678169632303554,Semiconductors,Auto Manufacturers,False
CPRT,NVDA,0.4676317771709648,Specialty Business Services,Semiconductors,False
CTAS,ISRG,0.4674780892935181,Specialty Business Services,Medical Instruments & Supplies,False
ISRG,QCOM,0.46739030000847903,Medical Instruments & Supplies,Semiconductors,False
CSX,PCAR,0.4673801635112998,Railroads,Farm & Heavy Construction Machinery,False
DASH,TTD,0.4671397669748059,Internet Retail,Advertising Agencies,False
BKNG,MCHP,0.46713632742556926,Travel Services,Semiconductors,False
ISRG,MCHP,0.46713547932317523,Medical Instruments & Supplies,Semiconductors,False
CDW,CPRT,0.4667574341897068,Information Technology Services,Specialty Business Services,False
CSX,LIN,0.46662400219298905,Railroads,Specialty Chemicals,False
AAPL,CSCO,0.4665440239402679,Consumer Electronics,Communication Equipment,False
DASH,MDB,0.4662327635717967,Internet Retail,Software - Infrastructure,False
ADSK,META,0.4660200648420866,Software - Application,Internet Content & Information,False
LRCX,META,0.46548266924112924,Semiconductor Equipment & Materials,Internet Content & Information,False
CDNS,META,0.4653977828554265,Software - Application,Internet Content & Information,False
CSCO,TXN,0.4653342756166987,Communication Equipment,Semiconductors,False
AAPL,AVGO,0.46521641573400224,Consumer Electronics,Semiconductors,False
ABNB,PYPL,0.4650933481308512,Travel Services,Credit Services,False
NXPI,WDAY,0.46495470579152876,Semiconductors,Software - Application,False
SNPS,TEAM,0.4649280308344824,Software - Infrastructure,Software - Application,False
CDW,ODFL,0.46466261802730097,Information Technology Services,Trucking,False
CRWD,MRVL,0.4644748724343196,Software - Infrastructure,Semiconductors,False
MSFT,ON,0.4643391330369001,Software - Infrastructure,Semiconductors,False
ASML,ZS,0.46432684073956193,Semiconductor Equipment & Materials,Software - Infrastructure,False
CPRT,ZS,0.4634090028040118,Specialty Business Services,Software - Infrastructure,False
ADSK,CSGP,0.46325816732131353,Software - Application,Real Estate Services,False
MELI,TTD,0.4632437174391072,Internet Retail,Advertising Agencies,False
CDW,MRVL,0.4629952640993656,Information Technology Services,Semiconductors,False
AMZN,GFS,0.4628939970735671,Internet Retail,Semiconductors,False
ASML,BKNG,0.46265127490881086,Semiconductor Equipment & Materials,Travel Services,False
GOOGL,SNPS,0.4626512574749217,Internet Content & Information,Software - Infrastructure,False
INTU,NFLX,0.4625147470935007,Software - Application,Entertainment,False
COST,CPRT,0.46245940574335315,Discount Stores,Specialty Business Services,False
MAR,TXN,0.4624072135622284,Lodging,Semiconductors,False
ADI,LIN,0.4622660870871513,Semiconductors,Specialty Chemicals,False
ISRG,NXPI,0.46224121529641465,Medical Instruments & Supplies,Semiconductors,False
AAPL,PYPL,0.4621339399747849,Consumer Electronics,Credit Services,False
CDNS,CDW,0.4620448858399167,Software - Application,Information Technology Services,False
ASML,PYPL,0.46188394903782704,Semiconductor Equipment & Materials,Credit Services,False
CPRT,MELI,0.4617228904125425,Specialty Business Services,Internet Retail,False
NXPI,PCAR,0.4616263287118811,Semiconductors,Farm & Heavy Construction Machinery,False
CDW,HON,0.46142432621798957,Information Technology Services,Conglomerates,False
AMZN,ON,0.46138342751934436,Internet Retail,Semiconductors,False
CTSH,HON,0.4607310522147503,Information Technology Services,Conglomerates,False
ASML,CRWD,0.46067642513809975,Semiconductor Equipment & Materials,Software - Infrastructure,False
CPRT,PYPL,0.46062922960256947,Specialty Business Services,Credit Services,False
CPRT,TXN,0.4606072134733039,Specialty Business Services,Semiconductors,False
ADP,CSX,0.460400929450869,Software - Application,Railroads,False
MDB,MELI,0.4602463102380886,Software - Infrastructure,Internet Retail,False
AVGO,GOOGL,0.4602032714809543,Semiconductors,Internet Content & Information,False
AEP,PEP,0.4598743049855379,Utilities - Regulated Electric,Beverages - Non-Alcoholic,False
ADI,TSLA,0.45979578788268094,Semiconductors,Auto Manufacturers,False
ADBE,CRWD,0.4594779039300228,Software - Application,Software - Infrastructure,False
ABNB,MCHP,0.4594006937962229,Travel Services,Semiconductors,False
HON,TXN,0.4592612520987983,Conglomerates,Semiconductors,False
ADP,CTSH,0.45920758380788607,Software - Application,Information Technology Services,False
AMD,CPRT,0.45911218539731646,Semiconductors,Specialty Business Services,False
PANW,WDAY,0.4589128700194745,Software - Infrastructure,Software - Application,False
LRCX,TSLA,0.4589040810501389,Semiconductor Equipment & Materials,Auto Manufacturers,False
ASML,IDXX,0.4588866428981714,Semiconductor Equipment & Materials,Diagnostics & Research,False
META,NFLX,0.45865489345924615,Internet Content & Information,Entertainment,False
ASML,MELI,0.4585688983218912,Semiconductor Equipment & Materials,Internet Retail,False
AMD,MELI,0.4581551726083484,Semiconductors,Internet Retail,False
CSCO,HON,0.45783559684794317,Communication Equipment,Conglomerates,False
GFS,MSFT,0.45772355864960107,Semiconductors,Software - Infrastructure,False
DDOG,PLTR,0.4577139957498303,Software - Application,Software - Infrastructure,False
ADBE,MCHP,0.4577004884653561,Software - Application,Semiconductors,False
ADBE,ISRG,0.4574265662118058,Software - Application,Medical Instruments & Supplies,False
GFS,ODFL,0.4573556545658481,Semiconductors,Trucking,False
APP,PLTR,0.4572773088378566,Advertising Agencies,Software - Infrastructure,False
ABNB,NVDA,0.4569832847904718,Travel Services,Semiconductors,False
ADI,PCAR,0.4569496026104381,Semiconductors,Farm & Heavy Construction Machinery,False
CTSH,QCOM,0.4568900692016507,Information Technology Services,Semiconductors,False
AAPL,ROP,0.4567206810975536,Consumer Electronics,Software - Application,False
ODFL,PCAR,0.45670445521020275,Trucking,Farm & Heavy Construction Machinery,False
AMD,TSLA,0.45666744330603554,Semiconductors,Auto Manufacturers,False
GOOGL,NXPI,0.45655415458369836,Internet Content & Information,Semiconductors,False
GOOGL,MCHP,0.4565334841004422,Internet Content & Information,Semiconductors,False
DDOG,MRVL,0.45644599841981404,Software - Application,Semiconductors,False
CPRT,HON,0.456388774955215,Specialty Business Services,Conglomerates,False
CDW,SBUX,0.45595081022744866,Information Technology Services,Restaurants,False
ADBE,TXN,0.45593149459815213,Software - Application,Semiconductors,False
CSX,MAR,0.45591801479624117,Railroads,Lodging,False
CPRT,ROST,0.45579683401399274,Specialty Business Services,Apparel Retail,False
AMAT,META,0.4557315928398038,Semiconductor Equipment & Materials,Internet Content & Information,False
CSGP,PYPL,0.4555500127269844,Real Estate Services,Credit Services,False
CSGP,CTAS,0.455488931453395,Real Estate Services,Specialty Business Services,False
AMD,ZS,0.4553846580426416,Semiconductors,Software - Infrastructure,False
CDNS,FTNT,0.4551521525803181,Software - Application,Software - Infrastructure,False
MAR,ODFL,0.45511356037657835,Lodging,Trucking,False
MRVL,TSLA,0.45506098266134054,Semiconductors,Auto Manufacturers,False
ADBE,AMAT,0.45505381259277555,Software - Application,Semiconductor Equipment & Materials,False
CDNS,PANW,0.4549719393538035,Software - Application,Software - Infrastructure,False
CSGP,ROP,0.4549498762109072,Real Estate Services,Software - Application,False
QCOM,TSLA,0.45473354543854133,Semiconductors,Auto Manufacturers,False
GFS,MAR,0.4545683483507048,Semiconductors,Lodging,False
GOOGL,ISRG,0.45444263883877456,Internet Content & Information,Medical Instruments & Supplies,False
KLAC,TSLA,0.45423520492533953,Semiconductor Equipment & Materials,Auto Manufacturers,False
ADI,SBUX,0.45404058454314783,Semiconductors,Restaurants,False
CRWD,TTD,0.4540357305263249,Software - Infrastructure,Advertising Agencies,False
ADP,COST,0.4539761416004483,Software - Application,Discount Stores,False
CPRT,VRSK,0.45394765739867177,Specialty Business Services,Consulting Services,False
AVGO,INTU,0.45393232668248185,Semiconductors,Software - Application,False
AAPL,ZS,0.4536537358708807,Consumer Electronics,Software - Infrastructure,False
ADI,IDXX,0.453573568013458,Semiconductors,Diagnostics & Research,False
CSX,CTSH,0.4533553799216012,Railroads,Information Technology Services,False
ISRG,MRVL,0.4532732803865167,Medical Instruments & Supplies,Semiconductors,False
ABNB,DDOG,0.4530164604548899,Travel Services,Software - Application,False
AMZN,PLTR,0.45298688076753746,Internet Retail,Software - Infrastructure,False
CTAS,ODFL,0.45292304609586453,Specialty Business Services,Trucking,False
AMAT,MAR,0.45289812482010716,Semiconductor Equipment & Materials,Lodging,False
CDNS,CTAS,0.45273937893684946,Software - Application,Specialty Business Services,False
ABNB,MELI,0.45253088761844595,Travel Services,Internet Retail,False
CSX,ROP,0.45237434339996446,Railroads,Software - Application,False
FTNT,ISRG,0.4523336636466884,Software - Infrastructure,Medical Instruments & Supplies,False
ABNB,MDB,0.45227331123774445,Travel Services,Software - Infrastructure,False
BKNG,INTU,0.45220452978374476,Travel Services,Software - Application,False
FTNT,WDAY,0.452182223195478,Software - Infrastructure,Software - Application,False
DASH,META,0.4520912655314933,Internet Retail,Internet Content & Information,False
BKNG,KLAC,0.45203923120955997,Travel Services,Semiconductor Equipment & Materials,False
LULU,NXPI,0.45173226622196966,Apparel Retail,Semiconductors,False
AMZN,TXN,0.451672706675103,Internet Retail,Semiconductors,False
LRCX,MAR,0.4514530217547034,Semiconductor Equipment & Materials,Lodging,False
ABNB,ZS,0.4512995114934757,Travel Services,Software - Infrastructure,False
IDXX,MSFT,0.4512741600135408,Diagnostics & Research,Software - Infrastructure,False
MELI,TEAM,0.45121107184085,Internet Retail,Software - Application,False
META,MRVL,0.4511646539548194,Internet Content & Information,Semiconductors,False
META,QCOM,0.4510536670988841,Internet Content & Information,Semiconductors,False
CSX,TXN,0.4509879448688823,Railroads,Semiconductors,False
AMD,DDOG,0.4509722558055236,Semiconductors,Software - Application,False
PCAR,TXN,0.45093817028308114,Farm & Heavy Construction Machinery,Semiconductors,False
CRWD,KLAC,0.45047724623294016,Software - Infrastructure,Semiconductor Equipment & Materials,False
PYPL,TEAM,0.45043607433634514,Credit Services,Software - Application,False
CDW,MU,0.4503645865329036,Information Technology Services,Semiconductors,False
ASML,DASH,0.4503150271614131,Semiconductor Equipment & Materials,Internet Retail,False
CSCO,NXPI,0.4502877566321219,Communication Equipment,Semiconductors,False
CDW,CSX,0.45007855730191965,Information Technology Services,Railroads,False
KDP,KHC,0.4499784531739535,Beverages - Non-Alcoholic,Packaged Foods,False
AAPL,ADP,0.44991773342018965,Consumer Electronics,Software - Application,False
ISRG,TXN,0.4498716093265387,Medical Instruments & Supplies,Semiconductors,False
CTAS,CTSH,0.44985003888190683,Specialty Business Services,Information Technology Services,False
CCEP,MDLZ,0.4495818996250997,Beverages - Non-Alcoholic,Confectioners,False
BKNG,LRCX,0.4495529152469659,Travel Services,Semiconductor Equipment & Materials,False
CPRT,LULU,0.4493555970279881,Specialty Business Services,Apparel Retail,False
AMZN,LULU,0.4493473598580872,Internet Retail,Apparel Retail,False
ADBE,CTAS,0.44912158970060395,Software - Application,Specialty Business Services,False
AMD,CRWD,0.4489498078192758,Semiconductors,Software - Infrastructure,False
MDB,MRVL,0.4489070843650437,Software - Infrastructure,Semiconductors,False
AAPL,CTSH,0.4487361440879015,Consumer Electronics,Information Technology Services,False
AMZN,TSLA,0.44860870846321027,Internet Retail,Auto Manufacturers,False
ADI,META,0.4485340732907516,Semiconductors,Internet Content & Information,False
COST,ISRG,0.4481903623590985,Discount Stores,Medical Instruments & Supplies,False
AVGO,CDW,0.44807890083859486,Semiconductors,Information Technology Services,False
ABNB,INTU,0.4479901644400821,Travel Services,Software - Application,False
ADSK,GFS,0.4479889099870213,Software - Application,Semiconductors,False
NVDA,WDAY,0.447984330918384,Semiconductors,Software - Application,False
PAYX,TXN,0.4479365575672952,Software - Application,Semiconductors,False
CDNS,PLTR,0.4479135993855239,Software - Application,Software - Infrastructure,False
MCHP,WDAY,0.44786068837602117,Semiconductors,Software - Application,False
CSCO,CTAS,0.4478230449620073,Communication Equipment,Specialty Business Services,False
MSFT,NFLX,0.44781810577998354,Software - Infrastructure,Entertainment,False
IDXX,NXPI,0.44775509521160306,Diagnostics & Research,Semiconductors,False
PYPL,TXN,0.4477374832185104,Credit Services,Semiconductors,False
ABNB,TTD,0.44773090867642196,Travel Services,Advertising Agencies,False
META,TTD,0.4475406143707607,Internet Content & Information,Advertising Agencies,False
ISRG,META,0.44723749562927206,Medical Instruments & Supplies,Internet Content & Information,False
COST,INTU,0.4472276370442909,Discount Stores,Software - Application,False
PYPL,ZS,0.44710979301886733,Credit Services,Software - Infrastructure,False
BKNG,MELI,0.4471050234362696,Travel Services,Internet Retail,False
AMD,PLTR,0.4470713196171927,Semiconductors,Software - Infrastructure,False
GOOGL,ZS,0.4469914672996065,Internet Content & Information,Software - Infrastructure,False
ODFL,PAYX,0.4468606337424189,Trucking,Software - Application,False
MRVL,WDAY,0.4467892172346952,Semiconductors,Software - Application,False
ADI,WDAY,0.4467208189831023,Semiconductors,Software - Application,False
BKNG,LIN,0.44671832822055474,Travel Services,Specialty Chemicals,False
AMAT,BKNG,0.4465285460630437,Semiconductor Equipment & Materials,Travel Services,False
ADSK,PANW,0.4465085759633685,Software - Application,Software - Infrastructure,False
CSCO,MSFT,0.44649388064175866,Communication Equipment,Software - Infrastructure,False
MCHP,META,0.4464479770793156,Semiconductors,Internet Content & Information,False
CDW,MSFT,0.44639486490593405,Information Technology Services,Software - Infrastructure,False
CSCO,MCHP,0.4461815746058136,Communication Equipment,Semiconductors,False
AMD,TTD,0.44596009656241137,Semiconductors,Advertising Agencies,False
MELI,NFLX,0.4459484180647052,Internet Retail,Entertainment,False
ABNB,PLTR,0.445944281098294,Travel Services,Software - Infrastructure,False
AMZN,BKNG,0.4457893850497627,Internet Retail,Travel Services,False
CPRT,CTSH,0.4455481109062417,Specialty Business Services,Information Technology Services,False
INTU,LIN,0.44552211735196473,Software - Application,Specialty Chemicals,False
AMZN,MU,0.4452234757163164,Internet Retail,Semiconductors,False
COST,PAYX,0.44511560453687415,Discount Stores,Software - Application,False
MSFT,MU,0.44499842478608975,Software - Infrastructure,Semiconductors,False
ADP,CSGP,0.4449751860239737,Software - Application,Real Estate Services,False
AMD,DASH,0.4449396204038261,Semiconductors,Internet Retail,False
CPRT,ON,0.4449269695474612,Specialty Business Services,Semiconductors,False
ADI,CSGP,0.44476841116059423,Semiconductors,Real Estate Services,False
AMZN,APP,0.4447559912563193,Internet Retail,Advertising Agencies,False
AMAT,TSLA,0.44462486632139503,Semiconductor Equipment & Materials,Auto Manufacturers,False
CDNS,TTD,0.4446108080975456,Software - Application,Advertising Agencies,False
ADBE,MRVL,0.4445725645753775,Software - Application,Semiconductors,False
ADI,ODFL,0.4445045499281805,Semiconductors,Trucking,False
LIN,TXN,0.4444768406402966,Specialty Chemicals,Semiconductors,False
GOOGL,TXN,0.4442249610854889,Internet Content & Information,Semiconductors,False
CPRT,IDXX,0.44410933730823543,Specialty Business Services,Diagnostics & Research,False
ASML,MAR,0.44389989283182785,Semiconductor Equipment & Materials,Lodging,False
ADP,CDW,0.4438602525773219,Software - Application,Information Technology Services,False
CTAS,NXPI,0.443825136916636,Specialty Business Services,Semiconductors,False
LIN,MCHP,0.44376655879089666,Specialty Chemicals,Semiconductors,False
IDXX,SNPS,0.44375852279917904,Diagnostics & Research,Software - Infrastructure,False
CTSH,GFS,0.44370760014572214,Information Technology Services,Semiconductors,False
